delegator,voting_power
somm1fj537gk7lst9p4nv0rgv5t2lx4zckfyjwfz8r2,10000000.000000000000000000
somm1j9wzqqv70c2zasmf7t0vl6ddqrrfvttjxdjaqz,10000000.000000000000000000
somm107r0ylq95jdantsxr2v376s3mu0ufh6gswtn4x,10000000.000000000000000000
somm1x0gzesx7j7u3j2ahg70v2z6j9h5lsmcwsherlc,1000000.000000000000000000
somm173xq5ys8m7pvs2hesuz4ccx9mjuz2pthr7plwa,1000000.000000000000000000
somm1t5f0kk0ug7xzd0u82hnnldu6z0jj2gc7je380n,100000.000000000000000000
somm1qa3c8fk74xu5m2c7acpdj8uuycugmdzr84sely,10000.000000000000000000
somm1h0ykccv6kx870lm6yw47hn5ffl67zxmdjjp4hs,10.000000000000000000
somm1d6nkqqhpc94y4n0p8uz7m4r4ua3pzkuwzgme2y,10.000000000000000000
somm1lrsgrvx02sqqtrs69tx6v8f6vr0exy88u7a8pe,10.000000000000000000
somm1yng27xvqv0z7uszrzvcfkggdpnxgartqxux8tm,9900000.000000000000000000
somm1xa5cv3h8ez3u0lxt40qy5rs6cxmc2yfp3dr4gz,95000000.000000000000000000
somm1zqg753ll6zf85nzml67ure8zqqkpyvw8c6fg9y,9000000.000000000000000000
somm1xsqfn7h84rzgxekrsjmx7ktt5a3ylvw6zet26m,900000.000000000000000000
somm108gstdpfdlhtjyy7m9ztm3fyd8e6dgpy2fynnc,89993750.000000000000000000
somm1rxvnh0zfzp6tpandg75z4mcze7rkme0y98w3gt,83000000.000000000000000000
somm1t2t8uc9cktykl9hq39ue40pjhjx99qc45k5y3p,75000000.000000000000000000
somm1vwrruj48vk8q49a7g8z08284wlvm9s6emayz72,74250000.000000000000000000
somm1ym4ap4quu89gy0eh5ag0khwx64y63gjt779dd0,71994510.000000000000000000
somm1dhj3cedyl4cehqa8r4hu6vg7qpqgvwrrha9lh4,71793616.000000000000000000
somm1prj9gxmtuq3px0fp57t43xxuma74vlfdug0epq,70343843.000000000000000000
somm1fcdt5aanc2u5gy8hvwnrpqnjysqrngxzuanwxh,70000000.000000000000000000
somm1xwpgxsf39qv5zt2vva4fgsvrgmpxzh5a6dly30,69038210.000000000000000000
somm1gjftdy5prc8zzq6dvedlay2v8pczxm0rrkvp39,61514777.000000000000000000
somm1vxykcs9pyjkrnlv9vc4kaf4s6snprrsktvewu4,6000030.000000000000000000
somm1gkm5auug7fqfy2u9p8ctqa0j4xmxhphkzk4pqu,56000000.000000000000000000
somm12mdekmt8f9vnrh4ldhmhspsrvlyus68qeqlt7a,5500000.000000000000000000
somm1gkcj3sa7fyjl9qepqjuaskq0qa8gvejqcdf8yc,5236292.000000000000000000
somm189g9war7xmrl68g4rxjgafjl0e99jnh9f2mpky,50387808.000000000000000000
somm1fr250zp4mym0s84g69x4e2kcf7cc84rkte96z4,50000153.000000000000000000
somm1zkhaxm7k2aw537dx493els7y984dg7pc7r2q9l,50000000.000000000000000000
somm1f9cz2nefyfr2c9wjvkyzkuddn7x5fjlhjvkptk,50000000.000000000000000000
somm1f5jw7e4rehj23epgqngtrqrkw392cwwe95jgmy,5000000.000000000000000000
somm1v779pqxnvamjv2fkvfn27dwkteljnvrcqal9ln,5000000.000000000000000000
somm1g2mjkrugdjr0h75cwg9ml5r8ynltd4z9emxup8,5000000.000000000000000000
somm1rzyjrn5nxsendchcuafqklzgw9hk5dvg03cw6y,5000000.000000000000000000
somm1plxajyqwe97ghd4em2xgd39wzvr27aelh5kcw2,500000.000000000000000000
somm1y7448p6gj99f0wwvj9z8g0ajka8094hhf3tl8d,5000.000000000000000000
somm1x4vhnxkfrqvgq6ehftrtp5l0286gawvmsy82zq,49000000.000000000000000000
somm1p7ezph8q9v3evg3dq63qrep7p87tgxxurw4rap,4700000.000000000000000000
somm1830649ahmsntdtqm4633cpslt3qllrfpy62r38,46000000.000000000000000000
somm1gvsqfvq69rgaq8k80uydrggjhk9tcscsvj2xuf,45000000.000000000000000000
somm1rxakrn8x4gwc6wcrpttpz8htjfu43nswt7ftty,4323799.000000000000000000
somm1rn5daa82xlxn8ln24w49622wk90ykwkjzw884a,4200000.000000000000000000
somm1d76n9fmzkzwvpf6uqy86es009al0acn39up6hz,40000000.000000000000000000
somm12mqgfxh25tqrl4xz39z0t67r4q024c7q7dmrr0,4000000.000000000000000000
somm1t4nupcw0hspl6xks29uff27e0jvk6zux2z2w08,39790433.000000000000000000
somm1tpvmj4dvrj66rw904ekal2m2jhwedqfhawv9qg,39000000.000000000000000000
somm19ng9gamfwrjgswjx0k0vmk2z8kha453y97zqvc,38000000.000000000000000000
somm1vjfr6t0wmhkn4dftt8vp4nhjvnzphyzaw3qkgj,35000000.000000000000000000
somm10z6mwcv78kmnj4lm74ce3zydrqwuh5qhnccrag,35000000.000000000000000000
somm1gcvdcw3v5mmrnxa96g5fdluvwrjuq4amus06va,3450000.000000000000000000
somm1wdmrtflx5w7nvcuy9ln2kffxj2gskexmp9hznu,338500000.000000000000000000
somm1rymfw64cg4ffkjy8ls8anv3622g4lcgthut0jn,321600000.000000000000000000
somm1v4p3lvawskszxjstkp9en5sq44z97jylh83vp9,29207274.000000000000000000
somm1tnzpvgzgq7uzfkv8vxmk9pw0zx6xlf6d7sajgw,29000000.000000000000000000
